"","stream","question","answer","answer_numeric","answer_avg","comments","rating","difficulty","confidence","respondent","role","time"
"38","Build Process","Is the build process fully automated?","Yes, for most or all of the applications",1,1,NA,2.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"39","Build Process","Do you enforce automated security checks in your build processes?","Yes, for most or all of the applications",1,0.5,NA,2.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"40","Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","Yes, for most or all of the applications",1,NA,"Solid knowledge is here interpreted as there is a clear way to see which dependencies you are relying on. I dont think anyone has “solid knowledge” of all dependencies.",2.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"41","Software Dependencies","Do you handle 3rd party dependency risk by a formal process?","Yes, for most or all of the applications",1,NA,"Not sure we do all of the extra stuff, but we do it for all applications",2.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"42","Software Dependencies","Do you prevent build of software if it's affected by vulnerabilities in dependencies?","No",0,NA,NA,2.5,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"43","Deployment Process","Do you use repeatable deployment processes?","NO ANSWER",0,0.5,NA,1,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"44","Deployment Process","Are deployment processes automated and employing security checks?","NO ANSWER",0,0,NA,1,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"45","Deployment Process","Do you consistently validate the integrity of deployed artifacts?","NO ANSWER",0,0.5,NA,1,"very easy","very confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"46","Secret Management","Do you limit access to application secrets according to the least privilege principle?","Yes, for most or all of the applications",1,NA,NA,1,"very easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"47","Secret Management","Do you inject production secrets into configuration files during deployment?","No",0,NA,NA,1,"very easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"48","Secret Management","Do you practice proper lifecycle management for application secrets?","Yes, for most or all of the applications",1,NA,NA,1,"very easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"49","Defect Tracking","Do you track all known security defects in accessible locations?","NO ANSWER",0,0.5,NA,0.5,"very easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"50","Defect Tracking","Do you keep an overview of the state of security defects across the organization?","NO ANSWER",0,0,NA,0.5,"very easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"51","Defect Tracking","Do you enforce SLAs for fixing security defects?","NO ANSWER",0,0,NA,0.5,"very easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"52","Metrics and Feedback","Do you use basic metrics about recorded security defects to carry out quick win improvement activities?","Yes, for most or all of the applications",1,NA,NA,0.5,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"53","Metrics and Feedback","Do you improve your security assurance program upon standardized metrics?","NO ANSWER",0,NA,NA,0.5,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"54","Metrics and Feedback","Do you regularly evaluate the effectiveness of your security metrics so that its input helps drive your security strategy?","NO ANSWER",0,NA,NA,0.5,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"55","Architecture Validation","Do you review the application architecture for key security objectives on an ad-hoc basis?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"56","Architecture Validation","Do you regularly review the security mechanisms of your architecture?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"57","Architecture Validation","Do you regularly review the effectiveness of the security controls?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"58","Architecture Mitigation","Do you review the application architecture for mitigations of typical threats on an ad-hoc basis?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"59","Architecture Mitigation","Do you regularly evaluate the threats to your architecture?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"60","Architecture Mitigation","Do you regularly update your reference architectures based on architecture assessment findings?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"61","Control Verification","Do you test applications for the correct functioning of standard security controls?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"62","Control Verification","Do you consistently write and execute test scripts to verify the functionality of security requirements?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"63","Control Verification","Do you automatically test applications for security regressions?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"64","Misuse/Abuse Testing","Do you test applications using randomization or fuzzing techniques?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"65","Misuse/Abuse Testing","Do you create abuse cases from functional requirements and use them to drive security tests?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"66","Misuse/Abuse Testing","Do you perform denial of service and security stress testing?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"67","Scalable Baseline","Do you scan applications with automated security testing tools?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"68","Scalable Baseline","Do you customize the automated security tools to your applications and technology stacks?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"69","Scalable Baseline","Do you integrate automated security testing into the build and deploy process?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"70","Deep Understanding","Do you manually review the security quality of selected high-risk components?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"71","Deep Understanding","Do you perform penetration testing for your applications at regular intervals?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"72","Deep Understanding","Do you use the results of security testing to improve the development lifecycle?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"73","Incident Detection","Do you analyze log data for security incidents periodically?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"74","Incident Detection","Do you follow a documented process for incident detection?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"75","Incident Detection","Do you review and update the incident detection process regularly?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"76","Incident Response","Do you respond to detected incidents?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"77","Incident Response","Do you use a repeatable process for incident handling?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"78","Incident Response","Do you have a dedicated incident response team available?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"79","Configuration Hardening","Do you harden configurations for key components of your technology stacks?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"80","Configuration Hardening","Do you have hardening baselines for your components?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"81","Configuration Hardening","Do you monitor and enforce conformity with hardening baselines?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"82","Patching and Updating","Do you identify and patch vulnerable components?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"83","Patching and Updating","Do you follow an established process for updating components of your technology stacks?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"84","Patching and Updating","Do you regularly evaluate components and review patch level status?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"85","Data Protection","Do you protect and handle information according to protection requirements for data stored and processed on each application?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"86","Data Protection","Do you maintain a data catalog, including types, sensitivity levels, and processing and storage locations?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"87","Data Protection","Do you regularly review and update the data catalog and your data protection policies and procedures?","NO ANSWER",0,0,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"88","System Decomissioning / Legacy Management","Do you identify and remove systems, applications, application dependencies, or services that are no longer used, have reached end of life, or are no longer actively developed or supported?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"89","System Decomissioning / Legacy Management","Do you follow an established process for removing all associated resources, as part of decommissioning of unused systems, applications, application dependencies, or services?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"90","System Decomissioning / Legacy Management","Do you regularly evaluate the lifecycle state and support status of every software asset and underlying infrastructure component, and estimate their end of life?","NO ANSWER",0,NA,NA,0,"easy","confident","229a43e68f7f67bd25211bf95ce5c4e8","development",2
"91","Create and Promote","Do you understand the enterprise-wide risk appetite for your applications ?","No",0,0,"We inform the risks above certain level. We propose mitigations. If risk is left uncovered, we have no idea which criteria are used for approving or vetting new releases.",0.625,"easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"92","Create and Promote","Do you have a strategic plan for application security and use it to make decisions?","Yes, we consult the plan often, and it is aligned with our application security strategy",1,0.5,"As a developer there are clear guidelines on what we should do regarding security. The plan is consistent to what we hear from above our level, but we don’t know about the details of what actually happens in the upper levels of the company",0.625,"easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"93","Create and Promote","Do you regularly review and update the Strategic Plan for Application Security?","Yes, but review is ad-hoc",0.25,0.125,"It is not up to developers to do a review of the plan. We can propose small changes to the processes regarding security in the application, but general guidelines are enforced from above our level in the organization.",0.625,"easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"94","Measure and Improve","Do you use a set of metrics to measure the effectiveness and efficiency of the application security program across applications?","No",0,NA,"I am not aware of any metrics regarding effectiveness or efficiency.",0.625,"easy","very unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"95","Measure and Improve","Did you define Key Perfomance Indicators (KPI) from available application security metrics?","NO ANSWER",0,NA,"I am not aware of any KPIs.",0.625,"easy","very unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"96","Measure and Improve","Do you update the Application Security strategy and roadmap based on application security metrics and KPIs?","NO ANSWER",0,NA,"I am not aware of any KPIs.",0.625,"easy","very unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"97","Policy & Standards","Do you have and apply a common set of policies and standards throughout your organization?","Yes, for some applications",0.25,0.125,"For COMPANY part of the application, everything is the same. For other parts of COMPANY I know that there is the Security Reliability Model that tries to standardize security related things throughout the organization, but I don’t know about the specifics in other departments at COMPANY.",0.625,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"98","Policy & Standards","Do you publish the organization's policies as test scripts or run-books for easy interpretation by development teams?","NO ANSWER",0,0.5,NA,0.625,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"99","Policy & Standards","Do you regularly report on policy and standard compliance, and use that information to guide compliance improvement efforts?","NO ANSWER",0,0,NA,0.625,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"100","Compliance Management","Do you have a complete picture of your external compliance obligations?","NO ANSWER",0,NA,"No, but I guess the Security Reliability Model takes care of it.",0.625,"easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"101","Compliance Management","Do you have a standard set of security requirements and verification procedures addressing the organization's external compliance obligations?","Yes, for most or all of the obligations",1,NA,"I guess the Security Reliability Model takes care of it.",0.625,"easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"102","Compliance Management","Do you regularly report on adherence to external compliance obligations and use that information to guide efforts to close compliance gaps?","NO ANSWER",0,NA,NA,0.625,"easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"103","Training and Awareness","Do you require employees involved with application development to take SDLC training?","No",0,0.5,"Owasp top 10 yes, for almost everyone. People who join get the same training. I don’t know about Defense in Depth, Fail Secure, Complete Mediation, etc.",2,"very easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"104","Training and Awareness","Is training customized for individual roles such as developers, testers, or security champions?","No",0,0.5,"As a developer and security master, I got more or less the same training",2,"very easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"105","Training and Awareness","Have you implemented a Learning Management System or equivalent to track employee training and certification processes?","Yes, for most or all of the training",1,1,NA,2,"very easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"106","Organization and Culture","Have you identified a Security Champion for each development team?","Yes, for most or all of the teams",1,NA,NA,2,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"107","Organization and Culture","Does the organization have a Secure Software Center of Excellence (SSCE)?","Yes, for the entire organization",1,NA,"Yes, as part of the Security Reliability Model.",2,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"108","Organization and Culture","Is there a centralized portal where developers and application security professionals from different teams and business units are able to communicate and share information?","Yes, for the entire organization",1,NA,"Yes, as part of the Security Reliability Model.",2,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"109","Application Risk Profile","Do you classify applications according to business risk based on a simple and predefined set of questions?","Yes, most or all of them",1,0.5,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"110","Application Risk Profile","Do you use centralized and quantified application risk profiles to evaluate business risk?","Yes, for most or all of the applications",1,0.5,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"111","Application Risk Profile","Do you regularly review and update the risk profiles for your applications?","NO ANSWER",0,0,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"112","Threat Modeling","Do you identify and manage architectural design flaws with threat modeling?","NO ANSWER",0,NA,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"113","Threat Modeling","Do you use a standard methodology, aligned on your application risk levels?","NO ANSWER",0,NA,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"114","Threat Modeling","Do you regularly review and update the threat modeling methodology for your applications?","NO ANSWER",0,NA,NA,1,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"115","Software Requirements","Do project teams specify security requirements during development?","Yes, for some applications",0.25,0.125,NA,0.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"116","Software Requirements","Do you define, structure, and include prioritization in the artifacts of the security requirements gathering process?","NO ANSWER",0,0,NA,0.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"117","Software Requirements","Do you use a standard requirements framework to streamline the elicitation of security requirements?","NO ANSWER",0,0,NA,0.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"118","Supplier Security","Do stakeholders review vendor collaborations for security requirements and methodology?","NO ANSWER",0,NA,NA,0.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"119","Supplier Security","Do vendors meet the security responsibilities and quality measures of service level agreements defined by the organization?","NO ANSWER",0,NA,NA,0.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"120","Supplier Security","Are vendors aligned with standard security controls and software development tools and processes that the organization utilizes?","NO ANSWER",0,NA,NA,0.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"121","Architecture Design","Do teams use security principles during design?","Yes, for most or all of the applications",1,0.5,NA,1.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"122","Architecture Design","Do you use shared security services during design?","Yes, for most or all of the applications",1,0.5,NA,1.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"123","Architecture Design","Do you base your design on available reference architectures?","Yes, for some applications",0.25,0.125,NA,1.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"124","Technology Management","Do you evaluate the security quality of important technologies used for development?","NO ANSWER",0,NA,NA,1.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"125","Technology Management","Do you have a list of recommended technologies for the organization?","NO ANSWER",0,NA,NA,1.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"126","Technology Management","Do you enforce the use of recommended technologies within the organization?","NO ANSWER",0,NA,NA,1.125,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"127","Build Process","Is your full build process formally described?","Yes, for some applications",0.25,0.125,NA,0.625,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"128","Build Process","Is the build process fully automated?","No",0,0,NA,0.625,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"129","Build Process","Do you enforce automated security checks in your build processes?","Yes, for most or all of the applications",1,0.5,NA,0.625,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"130","Software Dependencies","Do you have solid knowledge about dependencies you're relying on?","No",0,NA,NA,0.625,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"131","Software Dependencies","Do you handle 3rd party dependency risk by a formal process?","NO ANSWER",0,NA,NA,0.625,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"132","Software Dependencies","Do you prevent build of software if it's affected by vulnerabilities in dependencies?","No",0,NA,NA,0.625,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"133","Deployment Process","Do you use repeatable deployment processes?","Yes, for some applications",0.25,0.625,NA,1.75,"very easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"134","Deployment Process","Are deployment processes automated and employing security checks?","Yes, for some applications",0.25,0.625,NA,1.75,"very easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"135","Deployment Process","Do you consistently validate the integrity of deployed artifacts?","Yes, for most or all of the applications",1,0.5,NA,1.75,"very easy","unconfident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"136","Secret Management","Do you limit access to application secrets according to the least privilege principle?","Yes, for most or all of the applications",1,NA,NA,1.75,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"137","Secret Management","Do you inject production secrets into configuration files during deployment?","Yes, for most or all of the applications",1,NA,NA,1.75,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"138","Secret Management","Do you practice proper lifecycle management for application secrets?","NO ANSWER",0,NA,NA,1.75,"very easy","confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"139","Defect Tracking","Do you track all known security defects in accessible locations?","Yes, for most or all of the applications",1,0.5,NA,0.5,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"140","Defect Tracking","Do you keep an overview of the state of security defects across the organization?","NO ANSWER",0,0,NA,0.5,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"141","Defect Tracking","Do you enforce SLAs for fixing security defects?","NO ANSWER",0,0,NA,0.5,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"142","Metrics and Feedback","Do you use basic metrics about recorded security defects to carry out quick win improvement activities?","NO ANSWER",0,NA,NA,0.5,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"143","Metrics and Feedback","Do you improve your security assurance program upon standardized metrics?","NO ANSWER",0,NA,NA,0.5,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"144","Metrics and Feedback","Do you regularly evaluate the effectiveness of your security metrics so that its input helps drive your security strategy?","NO ANSWER",0,NA,NA,0.5,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"145","Architecture Validation","Do you review the application architecture for key security objectives on an ad-hoc basis?","NO ANSWER",0,0,NA,0,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"146","Architecture Validation","Do you regularly review the security mechanisms of your architecture?","NO ANSWER",0,0,NA,0,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"147","Architecture Validation","Do you regularly review the effectiveness of the security controls?","NO ANSWER",0,0,NA,0,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
"148","Architecture Mitigation","Do you review the application architecture for mitigations of typical threats on an ad-hoc basis?","NO ANSWER",0,NA,NA,0,"very easy","very confident","2804c8e7b9b06733e480dff3ce41c62c","development",63
